,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
10,10,4,Medium Risk,211,381,-0.17599210143089294,0.97,73,480,-0.1941017508506775,0.96,11,632,-0.19919949769973755,0.8,7,794,-0.20668341219425201,0.67,202,502,0.018470877781510353,0.98,191,636,0.09169863164424896,0.38,223,739,0.04065290465950966,0.56,97,748,-0.058713775128126144,0.63,80,955,-0.17842817306518555,0.61,36,1127,-0.047437168657779694,0.36,190,757,0.05871264263987541,0.67,208,946,0.019230710342526436,0.25,130,1099,0.2381243109703064,0.16,4,2,4,2,2,2,1,2,2,13.018421985352337,25.768438955891696,40.62413934191159,50.159674414104785,0.21797399537820183,4.986302951397448,139.8763279652138,163.73625565819393,5.37630286756136,6.972802592239748,23.04446244883033,10.28265125480339,10
11,11,4,Medium Risk,226,380,-0.15546353161334991,0.98,89,479,-0.1900285929441452,0.96,24,634,-0.2003345489501953,0.82,15,792,-0.2031264454126358,0.7,213,501,0.02496078982949257,0.98,201,639,0.0901254191994667,0.36,236,745,0.03996104374527931,0.54,110,744,-0.05850205570459366,0.67,99,952,-0.16185520589351654,0.64,42,1125,-0.023735621944069862,0.4,204,757,0.05840996280312538,0.7,238,930,-0.02737174741923809,0.31,155,1078,0.13515605032444,0.2,4,2,4,2,2,2,1,2,2,12.147420389079494,25.966599171455073,45.9841216532719,52.21529836416562,-1.1568224781524918,6.469200984261505,140.01573039429135,163.40807872332172,3.9505543437858375,7.9483136846281885,22.951729106454508,10.637345538162517,11
12,12,4,Medium Risk,242,377,-0.13072599470615387,0.98,107,475,-0.18907590210437775,0.97,45,631,-0.20330791175365448,0.84,50,787,-0.20244669914245605,0.73,226,499,0.04737445339560509,0.98,213,638,0.11543988436460495,0.35,245,745,0.06680049002170563,0.52,127,743,-0.06646733731031418,0.7,148,952,-0.1546381264925003,0.66,81,1122,-0.01570350117981434,0.43,215,752,0.0664299800992012,0.73,259,924,-0.004842777736485004,0.34,166,1078,0.09294676035642624,0.22,4,2,4,2,2,2,1,2,2,10.294263966852212,27.19923389282536,37.36632139016879,51.79096160700263,-1.1689834116512543,7.3220471555198685,142.25468659919426,158.94743112029533,5.168894562240897,9.767274085844326,22.888566032011056,9.068993081747118,12
13,13,4,Medium Risk,259,377,-0.13680171966552734,0.98,123,476,-0.19238796830177307,0.97,59,632,-0.2074585258960724,0.85,79,795,-0.20056882500648499,0.76,234,496,0.046021413058042526,0.98,218,638,0.11675038933753967,0.33,251,744,0.06387390196323395,0.51,145,743,-0.0663708820939064,0.73,162,955,-0.1410619616508484,0.66,123,1122,-0.0014987572794780135,0.42,226,752,0.06640316545963287,0.76,280,921,-0.008724848739802837,0.35,213,1079,0.09723243862390518,0.22,4,2,4,2,2,2,1,2,2,9.798946183771397,28.787704180955274,37.02690650544375,51.70541380983832,-1.4891965678485235,8.020212687018187,140.49448970335973,157.41029879806393,5.0042403349252425,11.756536863813801,22.763580646416766,8.709264752585648,13
14,14,4,Medium Risk,275,379,-0.12701238691806793,0.98,144,476,-0.2024824023246765,0.97,78,633,-0.22109082341194153,0.87,103,798,-0.2064521163702011,0.78,242,493,0.05094915255904198,0.98,224,638,0.11910849064588547,0.31,254,745,0.07095350325107574,0.49,163,744,-0.06931199133396149,0.76,194,960,-0.13188984990119934,0.65,169,1128,0.004963352810591459,0.41,239,752,0.06938669085502625,0.78,298,933,0.007262097205966711,0.36,276,1127,0.10770133882761002,0.22,4,2,4,2,2,2,1,2,2,9.586478172787967,31.76720559139602,30.644273578743423,53.459200164121484,-0.9669998035851108,10.02516469185079,141.07747907011526,159.4903431139344,2.9010243733614636,14.456287065234507,22.532629220441475,8.748119131072137,14
15,15,4,Medium Risk,288,380,-0.10554299503564835,0.98,165,476,-0.19990235567092896,0.98,99,634,-0.21329140663146973,0.88,123,799,-0.19312208890914917,0.8,250,493,0.06693705916404724,0.99,234,638,0.1371477097272873,0.3,272,745,0.09358543902635574,0.48,184,752,-0.07093241810798645,0.78,203,966,-0.1075572744011879,0.64,193,1139,0.016932597383856773,0.38,247,757,0.07106493413448334,0.8,308,937,0.0582544282078743,0.35,327,1137,0.13051658868789673,0.21,4,2,4,2,2,2,1,2,2,8.83408190255904,33.19666297429902,20.922351660032433,51.030630124121075,0.6769063141314859,12.245740498776797,139.42311981922046,159.68440919807816,3.5586644654837873,14.821680448924418,22.173687556111123,7.77134864939606,15
16,16,4,Medium Risk,307,382,-0.10927527397871017,0.99,188,477,-0.21049168705940247,0.98,121,634,-0.22384753823280334,0.89,143,802,-0.2017415463924408,0.82,267,494,0.07189823687076569,0.99,254,638,0.14083215594291687,0.29,288,743,0.09517547488212585,0.47,200,766,-0.07476427406072617,0.8,207,976,-0.10248119384050369,0.62,198,1148,0.03347988426685333,0.36,262,769,0.07490138709545135,0.82,318,957,0.07858117669820786,0.34,358,1140,0.1588628739118576,0.2,4,2,4,2,2,2,1,2,2,8.642771730579836,32.744095508444474,12.721069694614442,51.663131511527155,2.8500486197820862,14.552888413042893,138.708409768941,158.14232700790546,4.723251378624057,14.000928266291837,23.286381274168516,6.667963144553461,16
17,17,4,Medium Risk,326,384,-0.11088890582323074,0.99,207,478,-0.23940446972846985,0.98,143,637,-0.2478073239326477,0.9,172,804,-0.22332851588726044,0.84,281,494,0.061164550483226776,0.99,263,638,0.12649783492088318,0.28,288,749,0.07641098648309708,0.47,215,774,-0.07697327435016632,0.82,200,982,-0.07838542759418488,0.6,181,1153,0.0725703164935112,0.33,275,777,0.07710892707109451,0.84,328,958,0.11423218250274658,0.32,357,1131,0.221753790974617,0.18,4,3,4,2,2,2,2,2,2,10.31336505945138,33.05426036159943,13.914941810346164,51.55924577286453,2.075962074505668,16.665477980962578,140.7931562489289,156.02909716253728,5.711398212460744,13.75879593926982,24.53622159783207,7.442726783249967,17
18,18,4,Medium Risk,344,388,-0.11972569674253464,0.99,229,481,-0.2512798011302948,0.98,169,643,-0.27215680480003357,0.91,203,818,-0.2511589527130127,0.86,293,494,0.05888768285512924,0.99,268,644,0.11981359124183655,0.26,286,774,0.06978604942560196,0.44,235,784,-0.0818634033203125,0.84,224,994,-0.0839519128203392,0.58,208,1169,0.0737438052892685,0.31,289,788,0.08200571686029434,0.85,337,978,0.11378228664398193,0.3,351,1149,0.23203834891319275,0.17,4,3,4,2,2,2,2,2,2,10.601632155077118,34.22468366520363,17.102124860439943,50.76539431857046,3.601368376552273,16.53608103078426,142.7074150571786,156.25901251888794,5.269171213296284,17.060665756974252,24.696937279763624,7.791883442788584,18
19,19,4,Medium Risk,364,393,-0.10522916913032532,0.99,257,484,-0.24008803069591522,0.98,195,646,-0.2656329870223999,0.92,225,817,-0.25137582421302795,0.87,307,495,0.07119061052799225,0.99,270,647,0.1169871836900711,0.25,284,792,0.0688030943274498,0.43,270,782,-0.08391101658344269,0.86,275,996,-0.09004747867584229,0.56,251,1180,0.056994326412677765,0.29,306,786,0.08406224846839905,0.87,349,983,0.09723413735628128,0.29,340,1166,0.20366555452346802,0.16,4,3,4,2,2,2,2,2,2,10.055373930301416,37.71927442386655,18.27668909688174,49.04079544223163,1.1450363024700891,16.190267197849494,145.34233993093102,156.11372434523327,4.586778398113909,20.415949137003643,23.88594303605605,8.715307082764154,19
