,peaks_i,peak_val
0,181,9.0
1,492,9.0
2,948,8.0
3,1479,6.0
4,1883,8.0
5,2761,7.0
6,3140,8.0
7,3395,9.0
8,3697,8.0
9,3968,10.0
10,4508,10.0
11,4958,10.0
