,peaks_i,peak_val
0,311,9.0
1,614,10.0
2,1045,8.0
3,1655,9.0
4,2376,9.0
5,3202,9.0
6,4098,8.0
7,4943,8.0
8,5738,9.0
9,6405,10.0
10,6822,10.0
11,7293,10.0
12,7606,7.0
13,7929,10.0
