,peaks_i,peak_val
0,106,10.0
1,427,9.0
2,1117,7.0
3,1375,6.0
4,1709,7.0
5,1991,10.0
6,2694,10.0
7,3156,9.0
8,3476,9.0
9,3892,9.0
10,4327,7.0
11,4645,10.0
12,5141,9.0
13,5399,6.0
