,peaks_i,peak_val
0,409,9.0
1,785,7.0
2,1173,10.0
3,1555,10.0
4,2096,8.0
5,3356,9.0
6,3705,8.0
7,4744,8.0
8,6413,10.0
9,6741,7.0
10,7188,7.0
11,8195,8.0
12,9840,8.0
13,11476,9.0
14,11827,8.0
15,12424,10.0
16,12798,10.0
17,13261,10.0
18,13694,9.0
19,14102,10.0
20,14518,10.0
21,14921,10.0
22,15876,9.0
