,peaks_i,peak_val
0,167,7.0
1,465,10.0
2,1287,8.0
3,1643,10.0
4,1901,9.0
5,2164,10.0
6,2416,8.0
7,2698,9.0
8,3215,8.0
9,3886,7.0
10,4252,8.0
11,4631,8.0
12,4978,10.0
13,5282,10.0
14,5774,9.0
15,6846,9.0
16,7126,10.0
17,8060,8.0
18,8336,8.0
