,peaks_i,peak_val
0,208,8.0
1,499,10.0
2,1321,8.0
3,1682,10.0
4,2100,10.0
5,2419,8.0
6,2732,9.0
7,3006,6.0
8,3259,8.0
9,3527,6.0
10,3920,7.0
11,4350,8.0
12,4635,6.0
13,5019,9.0
14,5364,10.0
15,5949,9.0
16,6871,10.0
17,7173,10.0
18,7768,6.0
19,8105,8.0
20,8369,8.0
21,9576,8.0
22,9851,9.0
23,10143,9.0
24,10760,8.0
25,11088,7.0
